metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1668418990,1.000000,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_duration,1668418990,55.402800,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_blocked,1668418990,0.247700,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_connecting,1668418990,0.172000,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_tls_handshaking,1668418990,0.000000,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_sending,1668418990,0.103000,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_waiting,1668418990,54.786900,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_receiving,1668418990,0.512900,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_failed,1668418990,0.000000,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_reqs,1668418990,1.000000,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_duration,1668418990,55.531300,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_blocked,1668418990,0.211300,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_connecting,1668418990,0.172700,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_tls_handshaking,1668418990,0.000000,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_sending,1668418990,0.081700,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_waiting,1668418990,54.800100,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_receiving,1668418990,0.649500,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
http_req_failed,1668418990,0.000000,,,,true,,GET,http://127.0.0.1:8080/books/all,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/all,,
checks,1668418990,1.000000,GET status was 200,,,,,,,,default,,,,,,,
checks,1668418990,1.000000,error_code was 0,,,,,,,,default,,,,,,,
checks,1668418990,1.000000,GET status was 200,,,,,,,,default,,,,,,,
checks,1668418990,1.000000,error_code was 0,,,,,,,,default,,,,,,,
vus,1668418991,2.000000,,,,,,,,,,,,,,,,
vus_max,1668418991,2.000000,,,,,,,,,,,,,,,,
vus,1668418992,2.000000,,,,,,,,,,,,,,,,
vus_max,1668418992,2.000000,,,,,,,,,,,,,,,,
vus,1668418993,2.000000,,,,,,,,,,,,,,,,
vus_max,1668418993,2.000000,,,,,,,,,,,,,,,,
vus,1668418994,2.000000,,,,,,,,,,,,,,,,
vus_max,1668418994,2.000000,,,,,,,,,,,,,,,,
http_reqs,1668418994,1.000000,,,,true,,GET,http://127.0.0.1:8080/books/1,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/1,,
http_req_duration,1668418994,9.493700,,,,true,,GET,http://127.0.0.1:8080/books/1,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/1,,
http_req_blocked,1668418994,0.004400,,,,true,,GET,http://127.0.0.1:8080/books/1,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/1,,
http_req_connecting,1668418994,0.000000,,,,true,,GET,http://127.0.0.1:8080/books/1,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/1,,
http_req_tls_handshaking,1668418994,0.000000,,,,true,,GET,http://127.0.0.1:8080/books/1,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/1,,
http_req_sending,1668418994,0.021700,,,,true,,GET,http://127.0.0.1:8080/books/1,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/1,,
http_req_waiting,1668418994,9.305100,,,,true,,GET,http://127.0.0.1:8080/books/1,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/1,,
http_req_receiving,1668418994,0.166900,,,,true,,GET,http://127.0.0.1:8080/books/1,HTTP/1.1,default,,200,,,http://127.0.0.1:8080/books/1,,
